Codebook 2020,,,,,,,,,,,,,,
Variable,Type,Description and Labels,Response Codes,Section,Availability,Template,Notes,Preserved,Handle1,Target1,Handle2,Target2,Special mapping,NaiveScale
ZCONCRETE,Num,Imputation indicator for CONCRETE,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZCOOKTOP,Num,Imputation indicator for COOKTOP,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZCOOKTOPFUEL,Num,Imputation indicator for COOKTOPFUEL,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZCOOKTOPINDT,Num,Imputation indicator for COOKTOPINDT,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZCOOKTOPUSE,Num,Imputation indicator for COOKTOPUSE,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZCOOLAPT,Num,Imputation indicator for COOLAPT,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
ZCOOLCNTL,Num,Imputation indicator for COOLCNTL,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
ZCRAWL,Num,Imputation indicator for CRAWL,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZCROCKPOT,Num,Imputation indicator for CROCKPOT,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZCWASHER,Num,Imputation indicator for CWASHER,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZDEHUMTYPE,Num,Imputation indicator for DEHUMTYPE,"1 Imputed
0 Not imputed",AIR CONDITIONING,,,Categorical,0,,,,,,
ZDESKTOP,Num,Imputation indicator for DESKTOP,"1 Imputed
0 Not imputed",ELECTRONICS,,,Categorical,0,,,,,,
ZDISHWASH,Num,Imputation indicator for DISHWASH,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZDOOR1SUM,Num,Imputation indicator for DOOR1SUM,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZDRAFTY,Num,Imputation indicator for DRAFTY,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZDRYER,Num,Imputation indicator for DRYER,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZDRYRFUEL,Num,Imputation indicator for DRYRFUEL,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZDRYRUSE,Num,Imputation indicator for DRYRUSE,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZDVD,Num,Imputation indicator for DVD,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZDWASHUSE,Num,Imputation indicator for DWASHUSE,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZDWCYCLE,Num,Imputation indicator for DWCYCLE,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZEDUCATION,Num,Imputation indicator for EDUCATION,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,,,Categorical,0,,,,,,
ZELPAY,Num,Imputation indicator for ELPAY,"1 Imputed
0 Not imputed",ENERGY BILLS,,,Categorical,0,,,,,,
ZELPERIPH,Num,Imputation indicator for ELPERIPH,"1 Imputed
0 Not imputed",ELECTRONICS,,,Categorical,0,,,,,,
ZEMPLOYHH,Num,Imputation indicator for EMPLOYHH,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,,,Categorical,0,,,,,,
ZENERGYASST,Num,Imputation indicator for ENERGYASST,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZENERGYASST16,Num,Imputation indicator for ENERGYASST16,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZENERGYASST17,Num,Imputation indicator for ENERGYASST17,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZENERGYASST18,Num,Imputation indicator for ENERGYASST18,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZENERGYASST19,Num,Imputation indicator for ENERGYASST19,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZENERGYASST20,Num,Imputation indicator for ENERGYASST20,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZENERGYASSTOTH,Num,Imputation indicator for ENERGYASSTOTH,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZEQUIPAGE,Num,Imputation indicator for EQUIPAGE,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZEQUIPAUXTYPE,Num,Imputation indicator for EQUIPAUXTYPE,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZEQUIPM,Num,Imputation indicator for EQUIPM,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZFOPAY,Num,Imputation indicator for FOPAY,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY BILLS,,,Categorical,0,,,,,,
ZFREEZER,Num,Imputation indicator for FREEZER,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZFUELAUX,Num,Imputation indicator for FUELAUX,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZFUELH2O,Num,Imputation indicator for FUELH2O,"1 Imputed
0 Not imputed",WATER HEATING,,,Categorical,0,,,,,,
ZFUELH2O2,Num,Imputation indicator for FUELH2O2,"1 Imputed
0 Not imputed
-2 Not applicable",WATER HEATING,,,Categorical,0,,,,,,
ZFUELHEAT,Num,Imputation indicator for FUELHEAT,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZFUELPOOL,Num,Imputation indicator for FUELPOOL,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZFUELTUB,Num,Imputation indicator for FUELTUB,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZGARGCOOL,Num,Imputation indicator for GARGCOOL,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
ZGARGHEAT,Num,Imputation indicator for GARGHEAT,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZH2OAPT,Num,Imputation indicator for H2OAPT,"1 Imputed
0 Not imputed
-2 Not applicable",WATER HEATING,,,Categorical,0,,,,,,
ZH2OMAIN,Num,Imputation indicator for H2OMAIN,"1 Imputed
0 Not imputed
-2 Not applicable",WATER HEATING,,,Categorical,0,,,,,,
ZHEATAPT,Num,Imputation indicator for HEATAPT,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZHEATCNTL,Num,Imputation indicator for HEATCNTL,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,,,Categorical,0,,,,,,
ZHEATHOME,Num,Imputation indicator for HEATHOME,"1 Imputed
0 Not imputed",SPACE HEATING,,,Categorical,0,,,,,,
ZHHAGE,Num,Imputation indicator for HHAGE,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,,,Categorical,0,,,,,,
ZHHSEX,Num,Imputation indicator for HHSEX,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,,,Categorical,0,,,,,,
ZHIGHCEIL,Num,Imputation indicator for HIGHCEIL,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZHOTMA,Num,Imputation indicator for HOTMA,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZHOUSEFAN,Num,Imputation indicator for HOUSEFAN,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
ZHUMIDTYPE,Num,Imputation indicator for HUMIDTYPE,"1 Imputed
0 Not imputed",SPACE HEATING,,,Categorical,0,,,,,,
ZICE,Num,Imputation indicator for ICE,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZINTERNET,Num,Imputation indicator for INTERNET,"1 Imputed
0 Not imputed",ELECTRONICS,,,Categorical,0,,,,,,
ZINTSTREAM,Num,Imputation indicator for INTSTREAM,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZINTYPEBROAD,Num,Imputation indicator for INTYPEBROAD,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZINTYPECELL,Num,Imputation indicator for INTYPECELL,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZINTYPEOTH,Num,Imputation indicator for INTYPEOTH,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZKOWNRENT,Num,Imputation indicator for KOWNRENT,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZLGTIN1TO4,Num,Imputation indicator for LGTIN1TO4,"1 Imputed
0 Not imputed",LIGHTING,,,Categorical,0,,,,,,
ZLGTIN4TO8,Num,Imputation indicator for LGTIN4TO8,"1 Imputed
0 Not imputed",LIGHTING,,,Categorical,0,,,,,,
ZLGTINCAN,Num,Imputation indicator for LGTINCAN,"1 Imputed
0 Not imputed",LIGHTING,,,Categorical,0,,,,,,
ZLGTINCFL,Num,Imputation indicator for LGTINCFL,"1 Imputed
0 Not imputed",LIGHTING,,,Categorical,0,,,,,,
ZLGTINLED,Num,Imputation indicator for LGTINLED,"1 Imputed
0 Not imputed",LIGHTING,,,Categorical,0,,,,,,
ZLGTINMORE8,Num,Imputation indicator for LGTINMORE8,"1 Imputed
0 Not imputed",LIGHTING,,,Categorical,0,,,,,,
ZLGTOUTANY,Num,Imputation indicator for LGTOUTANY,"1 Imputed
0 Not imputed",LIGHTING,,,Categorical,0,,,,,,
ZLGTOUTCAN,Num,Imputation indicator for LGTOUTCAN,"1 Imputed
0 Not imputed
-2 Not applicable",LIGHTING,,,Categorical,0,,,,,,
ZLGTOUTCFL,Num,Imputation indicator for LGTOUTCFL,"1 Imputed
0 Not imputed
-2 Not applicable",LIGHTING,,,Categorical,0,,,,,,
ZLGTOUTLED,Num,Imputation indicator for LGTOUTLED,"1 Imputed
0 Not imputed
-2 Not applicable",LIGHTING,,,Categorical,0,,,,,,
ZLGTOUTNITE,Num,Imputation indicator for LGTOUTNITE,"1 Imputed
0 Not imputed
-2 Not applicable",LIGHTING,,,Categorical,0,,,,,,
ZLOCRFRI2,Num,Imputation indicator for LOCRFRI2,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZLPGPAY,Num,Imputation indicator for LPGPAY,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY BILLS,,,Categorical,0,,,,,,
ZMICRO,Num,Imputation indicator for MICRO,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZMONEYPY,Num,Imputation indicator for MONEYPY,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,,,Categorical,0,,,,,,
ZMONPOOL,Num,Imputation indicator for MONPOOL,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZMONTUB,Num,Imputation indicator for MONTUB,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZMORETHAN1H2O,Num,Imputation indicator for MORETHAN1H2O,"1 Imputed
0 Not imputed",WATER HEATING,,,Categorical,0,,,,,,
ZNCOMBATH,Num,Imputation indicator for NCOMBATH,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZNGPAY,Num,Imputation indicator for NGPAY,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY BILLS,,,Categorical,0,,,,,,
ZNHAFBATH,Num,Imputation indicator for NHAFBATH,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZNHSLDMEM,Num,Imputation indicator for NHSLDMEM,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,,,Categorical,0,,,,,,
ZNOACBROKE,Num,Imputation indicator for NOACBROKE,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZNOACDAYS,Num,Imputation indicator for NOACDAYS,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZNOACEL,Num,Imputation indicator for NOACEL,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZNOACHELP,Num,Imputation indicator for NOACHELP,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZNOHEATBROKE,Num,Imputation indicator for NOHEATBROKE,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZNOHEATBULK,Num,Imputation indicator for NOHEATBULK,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZNOHEATDAYS,Num,Imputation indicator for NOHEATDAYS,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZNOHEATEL,Num,Imputation indicator for NOHEATEL,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZNOHEATHELP,Num,Imputation indicator for NOHEATHELP,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZNOHEATNG,Num,Imputation indicator for NOHEATNG,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZNUMADULT1,Num,Imputation indicator for NUMADULT1,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,,,Categorical,0,,,,,,
ZNUMADULT2,Num,Imputation indicator for NUMADULT2,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,,,Categorical,0,,,,,,
ZNUMCFAN,Num,Imputation indicator for NUMCFAN,"1 Imputed
0 Not imputed",AIR CONDITIONING,,,Categorical,0,,,,,,
ZNUMCHILD,Num,Imputation indicator for NUMCHILD,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,,,Categorical,0,,,,,,
ZNUMDLHP,Num,Imputation indicator for NUMDLHP,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZNUMDLHPAC,Num,Imputation indicator for NUMDLHPAC,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
ZNUMFIREPLC,Num,Imputation indicator for NUMFIREPLC,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZNUMFLOORFAN,Num,Imputation indicator for NUMFLOORFAN,"1 Imputed
0 Not imputed",AIR CONDITIONING,,,Categorical,0,,,,,,
ZNUMFREEZ,Num,Imputation indicator for NUMFREEZ,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZNUMFRIG,Num,Imputation indicator for NUMFRIG,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZNUMLAPTOP,Num,Imputation indicator for NUMLAPTOP,"1 Imputed
0 Not imputed",ELECTRONICS,,,Categorical,0,,,,,,
ZNUMMEAL,Num,Imputation indicator for NUMMEAL,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZNUMPORTAC,Num,Imputation indicator for NUMPORTAC,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
ZNUMPORTDEHUM,Num,Imputation indicator for NUMPORTDEHUM,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
ZNUMPORTEL,Num,Imputation indicator for NUMPORTEL,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZNUMPORTHUM,Num,Imputation indicator for NUMPORTHUM,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZNUMSMPHONE,Num,Imputation indicator for NUMSMPHONE,"1 Imputed
0 Not imputed",ELECTRONICS,,,Categorical,0,,,,,,
ZNUMTABLET,Num,Imputation indicator for NUMTABLET,"1 Imputed
0 Not imputed",ELECTRONICS,,,Categorical,0,,,,,,
ZNUMWWAC,Num,Imputation indicator for NUMWWAC,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
ZONLNEDUC,Num,Imputation indicator for ONLNEDUC,"1 Imputed
0 Not imputed",ELECTRONICS,,,Categorical,0,,,,,,
ZORIGWIN,Num,Imputation indicator for ORIGWIN,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZOTHROOMS,Num,Imputation indicator for OTHROOMS,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZOUTGRILLFUEL,Num,Imputation indicator for OUTGRILLFUEL,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZOUTLET,Num,Imputation indicator for OUTLET,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY BILLS,,,Categorical,0,,,,,,
ZOVEN,Num,Imputation indicator for OVEN,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZOVENFUEL,Num,Imputation indicator for OVENFUEL,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZOVENUSE,Num,Imputation indicator for OVENUSE,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZPAYHELP,Num,Imputation indicator for PAYHELP,"1 Imputed
0 Not imputed
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZPLAYSTA,Num,Imputation indicator for PLAYSTA,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZPOOLPUMP,Num,Imputation indicator for POOLPUMP,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZPOWEROUT,Num,Imputation indicator for POWEROUT,"1 Imputed
0 Not imputed",ENERGY BILLS,,,Categorical,0,,,,,,
ZPRKGPLC1,Num,Imputation indicator for PRKGPLC1,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZPRSSCOOK,Num,Imputation indicator for PRSSCOOK,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZRANGE,Num,Imputation indicator for RANGE,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZRANGEFUEL,Num,Imputation indicator for RANGEFUEL,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZRANGEINDT,Num,Imputation indicator for RANGEINDT,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZRCOOKUSE,Num,Imputation indicator for RCOOKUSE,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZRECBATH,Num,Imputation indicator for RECBATH,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZRICECOOK,Num,Imputation indicator for RICECOOK,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZROOFTYPE,Num,Imputation indicator for ROOFTYPE,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZROVENUSE,Num,Imputation indicator for ROVENUSE,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZSCALEB,Num,Imputation indicator for SCALEB,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZSCALEE,Num,Imputation indicator for SCALEE,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZSCALEG,Num,Imputation indicator for SCALEG,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZSDESCENT,Num,Imputation indicator for SDESCENT,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,,,Categorical,0,,,,,,
ZSEPDVR,Num,Imputation indicator for SEPDVR,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZSIZEOFGARAGE,Num,Imputation indicator for SIZEOFGARAGE,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZSIZFREEZ,Num,Imputation indicator for SIZFREEZ,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZSIZRFRI1,Num,Imputation indicator for SIZRFRI1,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZSIZRFRI2,Num,Imputation indicator for SIZRFRI2,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZSMARTSPK,Num,Imputation indicator for SMARTSPK,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZSQFTEST,Num,Imputation indicator for SQFTEST,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZSQFTINCA,Num,Imputation indicator for SQFTINCA,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZSQFTINCB,Num,Imputation indicator for SQFTINCB,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZSQFTINCG,Num,Imputation indicator for SQFTINCG,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZSQFTRANGE,Num,Imputation indicator for SQFTRANGE,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZSSLIGHT,Num,Imputation indicator for SSLIGHT,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZSSOTHER,Num,Imputation indicator for SSOTHER,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZSSSECURE,Num,Imputation indicator for SSSECURE,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZSSTEMP,Num,Imputation indicator for SSTEMP,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZSSTV,Num,Imputation indicator for SSTV,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZSTORIES,Num,Imputation indicator for STORIES,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZSWIMPOOL,Num,Imputation indicator for SWIMPOOL,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZTELLDAYS,Num,Imputation indicator for TELLDAYS,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTELLWORK,Num,Imputation indicator for TELLWORK,"1 Imputed
0 Not imputed",ELECTRONICS,,,Categorical,0,,,,,,
ZTEMPGONE,Num,Imputation indicator for TEMPGONE,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,,,Categorical,0,,,,,,
ZTEMPGONEAC,Num,Imputation indicator for TEMPGONEAC,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,,,Categorical,0,,,,,,
ZTEMPHOME,Num,Imputation indicator for TEMPHOME,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,,,Categorical,0,,,,,,
ZTEMPHOMEAC,Num,Imputation indicator for TEMPHOMEAC,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,,,Categorical,0,,,,,,
ZTEMPNITE,Num,Imputation indicator for TEMPNITE,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,,,Categorical,0,,,,,,
ZTEMPNITEAC,Num,Imputation indicator for TEMPNITEAC,"1 Imputed
0 Not imputed
-2 Not applicable",THERMOSTAT,,,Categorical,0,,,,,,
ZTLDESKTOP,Num,Imputation indicator for TLDESKTOP,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTLLAPTOP,Num,Imputation indicator for TLLAPTOP,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTLMONITOR,Num,Imputation indicator for TLMONITOR,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTLOTHER,Num,Imputation indicator for TLOTHER,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTLTABLET,Num,Imputation indicator for TLTABLET,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTOAST,Num,Imputation indicator for TOAST,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZTOASTOVN,Num,Imputation indicator for TOASTOVN,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZTOPFRONT,Num,Imputation indicator for TOPFRONT,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZTREESHAD,Num,Imputation indicator for TREESHAD,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZTVAUDIOSYS,Num,Imputation indicator for TVAUDIOSYS,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTVCOLOR,Num,Imputation indicator for TVCOLOR,"1 Imputed
0 Not imputed",ELECTRONICS,,,Categorical,0,,,,,,
ZTVONWD1,Num,Imputation indicator for TVONWD1,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTVONWD2,Num,Imputation indicator for TVONWD2,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTVONWD3,Num,Imputation indicator for TVONWD3,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTVONWE1,Num,Imputation indicator for TVONWE1,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTVONWE2,Num,Imputation indicator for TVONWE2,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTVONWE3,Num,Imputation indicator for TVONWE3,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZTVSIZE1,Num,Imputation indicator for TVSIZE1,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
